번호,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지전화,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y),,
334,3,폐업,3,폐업,2022-12-27,,,02-2163-3700,158-724,서울특별시 양천구 목동 916 현대백화점 목동점 UPLEX 8층,"서울특별시 양천구 목동동로 257 (목동, 현대백화점 목동점 UPLEX 8층)",7998,휘트니스클럽아로마,188884.0756,447186.8886,,
335,3,폐업,3,폐업,2005-11-30,,,2643-4771,158-811,서울특별시 양천구 목동 610-23번지,서울특별시 양천구 목동중앙북로 19-1  (목동),,자성수영장,188080.1784,449596.3046,,
336,3,폐업,3,폐업,1998-09-22,,,,158-848,서울특별시 양천구 신월동 1001-2번지,서울특별시 양천구 신월로 134  (신월동),,영원스포츠센타,185681.5094,446054.7388,,
337,3,폐업,3,폐업,2013-08-26,,,2647-9611,158-806,서울특별시 양천구 목동 405-25번지,서울특별시 양천구 오목로 344  (목동),,청학스포츠타운,188904.5718,446861.5254,,
338,3,폐업,3,폐업,2015-03-18,,,2652-8083,158-050,서울특별시 양천구 목동 900번지,,,양천주민편익시설,189659.1253,448616.907,,
339,3,폐업,3,폐업,2015-09-01,,,388-3141,122-813,서울특별시 은평구 갈현동 468-3번지,서울특별시 은평구 서오릉로 160  (갈현동),,오림피아수영장,192489.6059,456690.1872,,
340,3,폐업,3,폐업,2021-07-08,,,23886622,,서울특별시 은평구 구산동 191-1 사회복지법인 엔젤스헤이븐 3층동,"서울특별시 은평구 갈현로11길 30, 사회복지법인 엔젤스헤이븐 3층 (구산동)",3428,서부재활체육센터수영장,191702.1595,455932.1401,,
341,3,폐업,3,폐업,2022-06-30,,,23760070,,서울특별시 은평구 증산동 212 증산초등학교,"서울특별시 은평구 증산서길 61, 증산초등학교 (증산동)",3493,증산스포츠센터,191494.1831,453352.1387,,
342,3,폐업,3,폐업,2012-08-13,,,2208-2222,131-800,서울특별시 중랑구 망우동 산 69-1번지,서울특별시 중랑구 망우로70길 64-8 (망우동),131-800,용마,209252.9413,454663.3793,,
343,3,폐업,3,폐업,2008-11-01,,,411-2000,138-220,서울특별시 송파구 잠실동 40번지,서울특별시 송파구 올림픽로 212  (잠실동),,롯데월드스위밍,208233.927,445435.2576,,
344,3,폐업,3,폐업,2017-06-13,,,431-6465,138-855,서울특별시 송파구 오금동 11번지 현대백조(아)상가 지하2층,서울특별시 송파구 양재대로72길 17 (오금동),5652,퍼니퍼니,211358.758,445248.7244,,
345,3,폐업,3,폐업,2008-01-11,,,410-1696,138-829,서울특별시 송파구 방이동 88번지,,,올림픽수영장,210199.4592,446539.2794,,
346,3,폐업,3,폐업,2010-07-15,,,401-7582,138-786,서울특별시 송파구 방이동 89-12번지,서울특별시 송파구 양재대로 1222 (방이동),138-786,선수촌올림픽스포츠센터,211708.2647,445907.5829,,
347,3,폐업,3,폐업,2009-04-20,,,,110-846,서울특별시 종로구 평창동 76번지,서울특별시 종로구 평창24길 12  (평창동),,귀빈실내수영장,197725.9511,456251.7406,,
348,3,폐업,3,폐업,2007-07-03,,,,110-080,서울특별시 종로구 무악동 82번지 무악현대프라자 6층,,,나비스포렉스(주),196467.9751,452566.134,,
349,3,폐업,3,폐업,2017-07-27,,,588-8003,711-812,대구광역시 달성군 다사읍 매곡리 719-2번지,대구광역시 달성군 다사읍 달구벌대로 790,,삼산스포츠,331685.39,263366.2969,,
350,3,폐업,3,폐업,2004-08-02,,,823-2111,305-301,대전광역시 유성구 봉명동 444-5번지,대전광역시 유성구 온천서로 7  (봉명동),,호텔리베라유성실내수영장,230331.8583,317206.5043,,
351,3,폐업,3,폐업,2009-04-07,,,886-0450,400-821,인천광역시 중구 운북동 33-1번지,,,영종해수풀장,158967.3445,445125.3301,,
352,3,폐업,3,폐업,2007-09-13,,,747-0177,400-841,인천광역시 중구 중산동 1071번지,,,안젤라수영장,,,,
353,3,폐업,3,폐업,2020-05-15,,,032-745-9036,,인천광역시 중구 을왕동 773번지 B605호,"인천광역시 중구 용유서로 379 (을왕동, 골든스카이리조트)",22383,골든웨이브,144295.6182,438927.2324,,
354,3,폐업,3,폐업,2003-05-09,,,032-460-6713,405-868,인천광역시 남동구 만수동 1014-1번지,인천광역시 남동구 장승로 28  (만수동),,남동농협수영장,176527.9744,438170.2562,,
355,3,폐업,3,폐업,2004-08-05,,,032-466-7769,405-854,인천광역시 남동구 만수동 15번지,,,만수옥외수영장,176650.1647,439607.4422,,
356,3,폐업,3,폐업,2012-02-01,,,032-430-5550~2,405-841,인천광역시 남동구 구월동 1465-1번지,인천광역시 남동구 인하로 485  (구월동),,노블스포렉스,173449.2653,438055.7187,,
357,3,폐업,3,폐업,2005-09-05,,,032-468-6644,405-827,인천광역시 남동구 구월동 277번지,인천광역시 남동구 인주대로 670  (구월동),,인향스포타운수영장,174395.99,438585.5123,,
358,3,폐업,3,폐업,2006-04-10,,,032-469-9938,405-868,인천광역시 남동구 만수동 1014-1번지 (7층),"인천광역시 남동구 장승로 28  (만수동,(7층))",,에이스스포츠클럽,176527.9744,438170.2562,,
359,3,폐업,3,폐업,2008-01-31,,,032-471-0016,405-868,인천광역시 남동구 만수동 1014-1번지 (7층),"인천광역시 남동구 장승로 28  (만수동,(7층))",,캔월드스포츠,176527.9744,438170.2562,,
360,3,폐업,3,폐업,2005-07-13,,,584-2662,477-854,경기도 가평군 설악면 회곡리 433번지,,,정원풀장,,,,
361,3,폐업,3,폐업,2016-08-11,,,,477-803,경기도 가평군 가평읍 금대리 46-5번지 외6필지,경기도 가평군 가평읍 북한강변로 382,12428,클럽인너,247689.4964,473412.8145,,
362,3,폐업,3,폐업,2019-07-23,,,031-673-8881,456-863,경기도 안성시 금광면 현곡리 513번지,경기도 안성시 금광면 현곡길 353,17537,금광관광농원수영장,232139.5268,384255.6167,,
363,3,폐업,3,폐업,2017-03-17,,,031-672-3389,456-881,경기도 안성시 삼죽면 마전리 24-19번지,,,늘 징글벨랜드,231090.2144,392045.8421,,
364,3,폐업,3,폐업,2008-10-21,,,,471-834,경기도 구리시 인창동 527-44번지,경기도 구리시 동구릉로 65  (인창동),,성림 수영장,211737.5455,455974.7054,,
365,3,폐업,3,폐업,2023-06-02,,,,,서울특별시 송파구 방이동 67-2,"서울특별시 송파구 오금로15길 5-12 (방이동, 정환빌딩)",5548,비바스포츠센타,209536.519,445605.3118,,
366,3,폐업,3,폐업,2009-10-30,,,,790-824,경상북도 포항시 남구 대도동 315-1번지,,,포항실내수영장,412847.9468,281251.5091,,
367,3,폐업,3,폐업,2019-02-20,,,2521192,,경상북도 포항시 북구 장성동 1365-2번지 지하1층,"경상북도 포항시 북구 삼흥로 87, 지하1층 (장성동, 장성리치프라자)",37613,엘키즈풀,414246.1189,288082.7898,,
368,3,폐업,3,폐업,2022-08-10,,,054-232-3637,,"경상북도 포항시 북구 용흥동 366 우방스포츠프라자, 4층","경상북도 포항시 북구 대안길 44, 우방스포츠프라자 4층 (용흥동)",37650,우방수영장,411963.5927,285048.2969,,
369,3,폐업,3,폐업,2007-03-20,,,563-6338,135-849,서울특별시 강남구 대치동 988-14번지,서울특별시 강남구 도곡로 501  (대치동),,대신(13) 4레인,205335.5208,444132.846,,
370,3,폐업,3,폐업,2013-07-09,,,02-2607-8791,158-828,서울특별시 양천구 신월동 139-1번지,서울특별시 양천구 남부순환로 371  (신월동),,서울특별시서부여성발전센터,184902.8386,448014.0791,,
371,3,폐업,3,폐업,2004-12-09,,,965-1390,136-818,서울특별시 성북구 석관동 242-1번지,서울특별시 성북구 화랑로 254  (석관동),,믹스스포츠,205022.1682,456499.5985,,
372,3,폐업,3,폐업,2007-06-08,,,923-8930,136-060,서울특별시 성북구 돈암동 609-1번지 한진스포츠센타 5001호호,"서울특별시 성북구 성북로4길 52,  5001호호 (돈암동,한진스포츠센타)",,제이에프 수영장,200841.727,454721.5052,,
373,3,폐업,3,폐업,2004-11-11,,,922-9067,136-036,서울특별시 성북구 동소문동6가 27-1번지,,,돈암문화스포츠센타,201077.3384,454560.1129,,
374,3,폐업,3,폐업,2022-08-24,,,054-745-5100,,경상북도 경주시 외동읍 괘릉리 1233,경상북도 경주시 외동읍 영지로 636,38203,(주)성호리조트 실외수영장,408757.4144,253912.3779,,
375,3,폐업,3,폐업,2021-09-08,,,556734994,,경상남도 고성군 삼산면 두포리 177,경상남도 고성군 삼산면 두포5길 113-109,52959,농업회사법인 블루웨일주식회사(블루웨일글램핑),318732.4766,159178.926,,
376,3,폐업,3,폐업,2020-11-16,,,031-977-2301,,경기도 고양시 일산동구 중산동 1842 일산2차아이파크,"경기도 고양시 일산동구 중산로 60, 지하층 B202호 (중산동, 일산2차아이파크)",10310,킨더벨트 키즈스포짐,180834.4794,463954.5999,,
377,3,폐업,3,폐업,2024-05-01,,,,,경상남도 김해시 진영읍 본산리 921,"경상남도 김해시 진영읍 본산1로 29, 1층",50857,진영아쿠아센터,358745.4782,202628.1631,,
378,3,폐업,3,폐업,2006-03-20,,,042-274-2201,300-030,대전광역시 동구 효동 272-13번지,,,다이아스포렉스수영장,239331.7983,313169.5445,,
379,3,폐업,3,폐업,2007-10-02,,,042-274-2201,300-030,대전광역시 동구 효동 272-13번지,,,다이아스포렉스 수영장,239331.7983,313169.5445,,
380,3,폐업,3,폐업,2004-10-30,,,527-8880,302-816,대전광역시 서구 괴정동 110-9번지,대전광역시 서구 갈마로 209  (괴정동),,경성스포츠수영장,233928.8015,315156.6831,,
381,3,폐업,3,폐업,2018-10-31,,,488-5605,302-861,대전광역시 서구 탄방동 1084번지,대전광역시 서구 남선로 66 (탄방동),,남선공원종합체육관수영장,235679.3972,316137.4447,,
382,3,폐업,3,폐업,2015-10-01,,,891-0737,614-822,부산광역시 부산진구 당감동 516-6번지,부산광역시 부산진구 백양관문로 20 (당감동),47179,동해스포츠센타,385030.7291,186527.139,,
383,3,폐업,3,폐업,2021-07-20,,,1522-7958,,"부산광역시 부산진구 당감동 516-6 지하1,2층","부산광역시 부산진구 백양관문로 20, 지하1,2층 (당감동)",47179,(주)건강한,385030.7291,186527.139,,
384,3,폐업,3,폐업,2019-11-01,,,051-740-0404,612-821,부산광역시 해운대구 우동 651-2번지,부산광역시 해운대구 해운대해변로 217 (우동),48093,그랑풀수영장,396311.4784,186563.9636,,
385,3,폐업,3,폐업,2019-12-31,,,051-740-0404,612-821,부산광역시 해운대구 우동 651-2번지,부산광역시 해운대구 해운대해변로 217 (우동),48093,소수영장,396311.4784,186563.9636,,
386,3,폐업,3,폐업,2007-01-11,,,051-531-6611,612-815,부산광역시 해운대구 반여동 1405-34번지,부산광역시 해운대구 선수촌로21번길 29  (반여동),,마린레포츠센터,392727.7381,190598.6899,,
387,3,폐업,3,폐업,2019-01-16,,,051-743-1234,612-846,부산광역시 해운대구 중동 1405-16번지,부산광역시 해운대구 해운대해변로 292  (중동),,노보텔엠배서더 부산수영장,397022.9716,186692.0646,,
388,3,폐업,3,폐업,2006-06-29,,,521-7100,612-060,부산광역시 해운대구 반여동 1638번지 주공아시아선수촌스포츠센타 지하1층,"부산광역시 해운대구 선수촌로 122  (반여동,주공아시아선수촌스포츠센타 지하1층)",,아시아선수촌스포츠센터,393143.3526,191263.089,,
389,3,폐업,3,폐업,2019-11-01,,,051-704-8705,612-837,부산광역시 해운대구 좌동 1290번지,"부산광역시 해운대구 세실로 137 (좌동, 지하1층)",48078,해운대 생활체육센타,398099.9853,188571.3774,,
390,3,폐업,3,폐업,2007-01-25,,,568-3720,404-260,인천광역시 서구 마전동 산 147번지,인천광역시 서구 완정로92번길 18  (마전동),,아쿠아스포렉스,170392.0002,455429.5718,,
391,3,폐업,3,폐업,2007-07-25,,,031-397-0808,435-040,경기도 군포시 산본동 1231번지,,,산본스포랜드수영장,193729.8721,428221.4305,,
392,3,폐업,3,폐업,2016-11-04,,,,435-040,경기도 군포시 산본동 1231번지,"경기도 군포시 번영로 504, 지하층 (산본동, 산본쇼핑센터 )",15862,산본스파랜드,193729.8721,428221.4305,,
393,3,폐업,3,폐업,2020-08-27,,,867-7852,483-050,경기도 동두천시 탑동동 52-1,경기도 동두천시 삼육사로 1662-12 (탑동동),11360,왕방산수영장,211513.452,487505.3305,,
394,3,폐업,3,폐업,2020-08-13,,,868-2300,483-040,경기도 동두천시 광암동 486-4 T.S 레져피아 지하2층,"경기도 동두천시 광암로17번길 10 (광암동,T.S 레져피아 지하2층)",,T.S 레져피아수영장,207303.8622,488137.0645,,
395,3,폐업,3,폐업,2020-08-27,,,860-9145,483-040,경기도 동두천시 광암동 485-24 지하2층,"경기도 동두천시 광암로17번길 10 (광암동,지하2층)",,광암천수영장,207295.0368,488165.7977,,
396,3,폐업,3,폐업,2020-07-23,,,,483-030,경기도 동두천시 생연동 222-3,경기도 동두천시 장고갯로 161-35 (생연동),483-030,소요산 탑 온천랜드 & 스포츠랜드,205626.0283,489501.9146,,
397,3,폐업,3,폐업,2019-02-11,,,,,경기도 안성시 공도읍 용두리 514-1번지,경기도 안성시 공도읍 기업단지로 64-3,17551,헤움 어린이 수영장,214120.0709,389088.2904,,
398,3,폐업,3,폐업,1999-12-28,,,3476-6336,137-803,서울특별시 서초구 반포동 55-2번지,서울특별시 서초구 고무래로 18-4  (반포동),,돌핀스,200826.5366,444530.3672,,
399,3,폐업,3,폐업,2001-10-09,,,591-7005,137-907,서울특별시 서초구 잠원동 52-16번지,,,뉴타운수영장,,,,
400,3,폐업,3,폐업,2007-12-12,,,3477-8184,137-803,서울특별시 서초구 반포동 55-2번지,서울특별시 서초구 고무래로 18-4  (반포동),,정 스포츠센타,200826.5366,444530.3672,,
401,3,폐업,3,폐업,2006-10-27,,,"590-0791,3478-5060",137-909,서울특별시 서초구 잠원동 72-3번지,서울특별시 서초구 잠원로3길 40  (잠원동),,태남스포렉스,200258.0465,445103.7087,,
402,3,폐업,3,폐업,2004-02-03,,,275-7100,790-824,경상북도 포항시 남구 대도동 328-2번지,,,주은기획실내수영장,413082.0784,281134.1132,,
403,3,폐업,3,폐업,2012-03-27,,,,100-857,서울특별시 중구 장충동2가 산 7-22번지,,,장충수영장,200052.514,450342.4789,,
404,3,폐업,3,폐업,2000-04-29,,,,100-862,서울특별시 중구 충무로4가 12-1번지,,,오성,199403.9872,451162.498,,
405,3,폐업,3,폐업,2021-03-03,,,2186-6724,137-804,서울특별시 서초구 반포동 63-1 더팔래스호텔 6층,"서울특별시 서초구 사평대로 160 (반포동, 더팔래스호텔 6층)",6578,팔라티움 수영장,200148.9088,444359.6078,,
406,3,폐업,3,폐업,2016-03-15,,,(031)223-1302,445-380,경기도 화성시 안녕동 20-1,경기도 화성시 화산중앙로 18  (안녕동),,화성스포츠센터수영장,201213.231,411565.9961,,
407,3,폐업,3,폐업,2000-09-01,,,,445-942,경기도 화성시 장안면 사곡리 736-4,경기도 화성시 장안면 흥천길 84-34,,별장스포츠센터,182586.6624,395175.1985,,
408,3,폐업,3,폐업,2024-01-03,,,,445-380,경기도 화성시 안녕동 180-131,경기도 화성시 세자로 446  (안녕동),,88수영장,198576.3328,411423.1667,,
409,3,폐업,3,폐업,2011-05-30,,,031-8015-8100,445-160,경기도 화성시 반송동 108,,,(재)화성시문화재단,206803.1948,410914.9321,,
410,3,폐업,3,폐업,2017-10-19,,,1644-1894,445-330,경기도 화성시 반월동 325-5,경기도 화성시 반월북길 49 (반월동),18384,아이월드,205260.2594,414255.2091,,
411,3,폐업,3,폐업,2001-04-09,,,(031)222-0088,445-380,경기도 화성시 안녕동 180-130,,,주말수영장,198470.8853,411352.7378,,
412,3,폐업,3,폐업,1996-09-19,,,(031)52-5061,445-971,경기도 화성시 팔탄면 화당리 73,,,발안수영장,187850.0452,402078.997,,
413,3,폐업,3,폐업,2007-06-29,,,256-6457,440-240,경기도 수원시 장안구 연무동 0,,,광교원더랜드수영장,,,,
414,3,폐업,3,폐업,2012-06-29,,,255-0969,440-851,경기도 수원시 장안구 파장동 69-1,,,삼풍수영장,,,,
415,3,폐업,3,폐업,2006-06-19,,,244-7774,440-846,경기도 수원시 장안구 조원동 601-1,,,수원시체육회관실내수영장,,,,
416,3,폐업,3,폐업,2004-11-18,,,231-6550,442-835,경기도 수원시 팔달구 인계동 1114-1,경기도 수원시 팔달구 인계로 154  (인계동),,FMC스포츠클럽,202973.4103,418262.1145,,
417,3,폐업,3,폐업,2019-02-14,,,238-1230,442-835,경기도 수원시 팔달구 인계동 1125,경기도 수원시 팔달구 효원로 288 (인계동),,트레보휘트니스,202857.0345,417654.265,,
418,3,폐업,3,폐업,2021-01-20,,,218-0450,442-828,경기도 수원시 팔달구 인계동 334-1,경기도 수원시 팔달구 권광로 293 (인계동),,수원청소년문화센터,202999.0019,419146.4022,,
419,3,폐업,3,폐업,2008-12-05,,,063-633-6011,590-110,전북특별자치도 남원시 신촌동 367,전북특별자치도 남원시 원천로 53-14 (신촌동),,지리산레져텔실내수영장,236203.9236,212486.5922,,
420,3,폐업,3,폐업,2005-12-28,,,536-6761,580-864,전북특별자치도 정읍시 고부면 입석리 15,전북특별자치도 정읍시 고부면 입석4길 53,,두승산수영장,180032.4304,234187.7021,,
421,3,폐업,3,폐업,2017-08-04,,,533-7920,580-060,전북특별자치도 정읍시 시기동 69,전북특별자치도 정읍시 정읍사로 547 (시기동),,YMCA청소년수련관,187503.2754,228071.2987,,
422,3,폐업,3,폐업,2017-07-27,,,536-6262,580-864,전북특별자치도 정읍시 고부면 입석리 15,전북특별자치도 정읍시 고부면 입석4길 53,,황토현 푸른터,180032.4304,234187.7021,,
423,3,폐업,3,폐업,2012-10-05,,,,560-856,전북특별자치도 전주시 완산구 효자동1가 434 외 12필지,"전북특별자치도 전주시 완산구 용머리로 45  (효자동1가,외 12필지)",,전주 물놀이 축제장,210401.0807,256333.1337,,
424,3,폐업,3,폐업,2015-10-19,,,222-5500,560-859,전북특별자치도 전주시 완산구 효자동2가 753-11 호반유치원 내,전북특별자치도 전주시 완산구 한절길 22 (효자동2가),55070,튼튼 스포츠,208565.2421,255814.3822,,
425,3,폐업,3,폐업,2024-05-17,,,063-236-6333,560-510,전북특별자치도 전주시 완산구 상림동 580,전북특별자치도 전주시 완산구 정여립로 625 (상림동),55072,전주권 광역소각자원센터 주민지원협의체,206366.9353,256395.7374,,
426,3,폐업,3,폐업,2014-03-04,,,,561-816,전북특별자치도 전주시 덕진구 송천동1가 107-83,전북특별자치도 전주시 덕진구 오송1길 13-9 (송천동1가),561-816,하버드 수영장,211510.2423,262632.6823,,
427,3,폐업,3,폐업,2018-01-31,,,,560-287,전북특별자치도 전주시 완산구 원당동 576-3,전북특별자치도 전주시 완산구 학전길 13 (원당동),55142,학전 수영장,209783.5288,251775.9786,,
428,3,폐업,3,폐업,2018-05-10,,,063-283-7887,,전북특별자치도 전주시 완산구 효자동2가 842-2,"전북특별자치도 전주시 완산구 원효자길 20, 1층 (효자동2가)",55073,웰니스업,208171.2529,255288.6145,,
429,3,폐업,3,폐업,2020-11-02,,,063-277-0041,561-802,전북특별자치도 전주시 덕진구 금암동 482-14,전북특별자치도 전주시 덕진구 기린대로 358 (금암동),54931,더이지스윔스쿨,212164.8087,259487.4362,,
430,3,폐업,3,폐업,2005-04-04,,,277-0041,561-802,전북특별자치도 전주시 덕진구 금암동 482-14,전북특별자치도 전주시 덕진구 기린대로 358  (금암동),,태평양수영장,212164.8087,259487.4362,,
431,3,폐업,3,폐업,2008-01-28,,,063-246-8051,561-829,전북특별자치도 전주시 덕진구 인후동1가 500-77,전북특별자치도 전주시 덕진구 안덕원로 291  (인후동1가),,스포피아수영장,214270.8683,259740.3058,,
432,3,폐업,3,폐업,2003-09-01,,,224-6000,560-813,전북특별자치도 전주시 완산구 삼천동1가 706,,,삼익수영장,211185.8578,255295.0095,,
433,3,폐업,3,폐업,2010-01-05,,,063-277-1100,561-835,전북특별자치도 전주시 덕진구 진북동 301-70,전북특별자치도 전주시 덕진구 안덕원로 71  (진북동),,한국청소년연맹(전북학생종합회관체육관),212360.7033,258776.0208,,
434,3,폐업,3,폐업,2017-09-08,,,224-6000,,전북특별자치도 전주시 완산구 삼천동1가 706 지하1층,"전북특별자치도 전주시 완산구 용리로 143 (삼천동1가, 삼익수영장)",55083,삼익수영장,211185.8578,255295.0095,,
435,3,폐업,3,폐업,2022-09-15,,,063-252-4825,561-809,전북특별자치도 전주시 덕진구 송천동1가 292-7 지202호~지205호,전북특별자치도 전주시 덕진구 송천로 1 (송천동1가),54839,도어즈엔터프라이즈(유),210670.5086,261465.4134,,
436,3,폐업,3,폐업,2011-08-30,,,237-3651,560-868,전북특별자치도 전주시 완산구 효자동2가 1157-4,,,2011 키즈킹덤 워터 테마파크,209717.2422,257128.8688,,
437,3,폐업,3,폐업,2006-12-01,,,063-632-7400,590-100,전북특별자치도 남원시 어현동 37-122,전북특별자치도 남원시 소리길 66 (어현동),,아시아나실외수영장,234883.5267,211475.5484,,
438,3,폐업,3,폐업,2007-05-30,,,272-0070,631-822,경상남도 창원시 마산합포구 진북면 망곡리 480,경상남도 창원시 마산합포구 진북면 진북산업로 308,,마산수궁온천스파렉스,335153.7172,183622.679,,
439,3,폐업,3,폐업,2011-01-20,,,,630-812,경상남도 창원시 마산회원구 양덕동 477 마산종합운동장내,,,마산실내수영장,343875.096,192577.8124,,
440,3,폐업,3,폐업,2009-01-06,,,295-1120,630-812,경상남도 창원시 마산회원구 양덕동 477,,,종합운동장실내수영장,343875.096,192577.8124,,
441,3,폐업,3,폐업,2005-10-06,,,253-7733,630-856,경상남도 창원시 마산회원구 내서읍 호계리 10,,,(주)코오롱글로텍스포렉스마산점,338761.969,197499.5704,,
442,3,폐업,3,폐업,2015-09-01,,,252-2332,630-856,경상남도 창원시 마산회원구 내서읍 호계리 10 코오롱타운상가1 301호,"경상남도 창원시 마산회원구 내서읍 호원로 361-2, 301호 (코오롱타운상가1)",51213,코오롱스포츠센터(수영장),338761.969,197499.5704,,
443,3,폐업,3,폐업,2010-07-01,,,256-0110,630-812,경상남도 창원시 마산회원구 양덕동 477,,,올림픽생활관수영장,343875.096,192577.8124,,
444,3,폐업,3,폐업,2007-01-15,,,055-284-6891,641-803,"경상남도 창원시 성산구 남양동 22 지하 1, 2층",,,광림스포렉스수영장,355035.9459,191663.6164,,
445,3,폐업,3,폐업,2009-01-20,,,231-0343,630-851,경상남도 창원시 마산회원구 내서읍 신감리 1406-11,,,감천야외수영장,337215.336,191457.142,,
446,3,폐업,3,폐업,2007-11-14,,,055-278-2060,641-420,경상남도 창원시 성산구 귀곡동 555번지 사내복지회관 지하1층,,,두산중공업 복지회관 수영장,,,,
447,3,폐업,3,폐업,2019-02-28,,,055-271-7717,631-822,경상남도 창원시 마산합포구 진북면 망곡리 480,경상남도 창원시 마산합포구 진북면 진북산업로 308,51788,진북황실온천,335153.7172,183622.679,,
448,3,폐업,3,폐업,2023-03-09,,,043-845-7803,,충청북도 충주시 봉방동 11-1 충주수영장,"충청북도 충주시 국원대로 35, 충주수영장 (봉방동)",27427,충주수영장,282248.996,386462.1163,,
449,3,폐업,3,폐업,2009-11-03,,,"416-8500,416-8700",501-804,광주광역시 동구 계림동 485-43번지,광주광역시 동구 구성로 257  (계림동),,로데오스포츠클럽(시등록12호),192502.8211,184255.1172,,
450,3,폐업,3,폐업,2018-01-03,,,053-555-8700,704-735,대구광역시 달서구 감삼동 521번지,대구광역시 달서구 와룡로 143 (감삼동),42689,드림시티스포츠센터,338560.6949,261656.2406,,
451,3,폐업,3,폐업,1995-03-31,,,252-0393,301-805,대전광역시 중구 대흥동 516-2번지,대전광역시 중구 대흥로 92  (대흥동),,합기도남부도장,237858.4764,313617.9205,,
452,3,폐업,3,폐업,2006-09-13,,,533-6237,301-829,대전광역시 중구 오류동 175-3번지,대전광역시 중구 계룡로 832 (오류동),,미성 스포츠,236543.0492,313979.5714,,
453,3,폐업,3,폐업,2006-03-20,,,,300-822,대전광역시 동구 용운동 432번지,,,용천실내수영장,240750.4651,314288.2847,,
454,3,폐업,3,폐업,2003-01-02,,,051-469-9624,600-100,부산광역시 중구 대창동1가 54번지,,,부원실내 수영장,,,,
455,3,폐업,3,폐업,2007-05-14,,,051-752-0033,611-812,부산광역시 연제구 연산동 479-7번지,부산광역시 연제구 과정로 137  (연산동),,삼호수영장,391834.083,189185.417,,
456,3,폐업,3,폐업,2006-10-20,,,051-867-5207,611-839,부산광역시 연제구 연산동 702-9번지,부산광역시 연제구 중앙대로 1078  (연산동),,뉴그랜드수영장,389444.4365,189180.0529,,
457,3,폐업,3,폐업,1998-05-31,,,621-4244,608-814,부산광역시 남구 대연동 920-1번지,부산광역시 남구 유엔로120번가길 13  (대연동),,석천레포츠,390366.0903,183139.3303,,
458,3,폐업,3,폐업,1999-12-11,,,625-0050,608-816,부산광역시 남구 대연동 1618-14번지,부산광역시 남구 동제당로39번길 33  (대연동),,반도실내수영장,389371.8111,183439.7083,,
459,3,폐업,3,폐업,2010-09-01,,,532-0172,607-808,부산광역시 동래구 명장동 63-9번지,,,삼성스포렉스수영장,391202.374,191289.346,,
460,3,폐업,3,폐업,2013-12-06,,,522-4111,607-808,부산광역시 동래구 명장동 63-9번지,,,삼성아쿠아 스포츠센터,391202.374,191289.346,,
461,3,폐업,3,폐업,1995-12-12,,,522-1865,609-830,부산광역시 금정구 서동 203-28번지,부산광역시 금정구 서부로 2-1  (서동),,뉴부산수영장,391637.257,192657.6596,,
462,3,폐업,3,폐업,1997-03-04,,,051)512-9999,609-826,부산광역시 금정구 부곡동 325-6번지,부산광역시 금정구 부곡로 87  (부곡동),,뉴월드수영장,390296.8401,193622.8397,,
463,3,폐업,3,폐업,2008-01-03,,,504-0011,427-080,경기도 과천시 막계동 33번지,,,서울랜드,202115.8277,437231.6724,,
464,3,폐업,3,폐업,2008-12-24,,,02-509-6181,427-080,경기도 과천시 막계동 33번지,,,서울랜드 야외수영장,202115.8277,437231.6724,,
465,3,폐업,3,폐업,2009-12-17,,,509-6181,427-703,경기도 과천시 막계동 33번지 서울랜드,,,서울랜드 야외수영장,202115.8277,437231.6724,,
466,3,폐업,3,폐업,2010-12-17,,,,427-703,경기도 과천시 막계동 33번지 서울랜드,,,서울랜드 야외수영장,202115.8277,437231.6724,,
467,3,폐업,3,폐업,2011-12-26,,,02-509-6181,427-703,경기도 과천시 막계동 산 120번지 서울랜드,,,서울랜드 야외 수영장,200688.7534,436420.0191,,
468,3,폐업,3,폐업,2012-12-06,,,509-6000,427-703,경기도 과천시 막계동 33번지,경기도 과천시 광명로 181 (막계동),427-703,서울랜드 야외 수영장,202115.8277,437231.6724,,
469,3,폐업,3,폐업,2013-12-16,,,02-509-6000,427-703,경기도 과천시 막계동 33번지,경기도 과천시 광명로 181 (막계동),427-703,서울랜드 야외수영장,202115.8277,437231.6724,,
470,3,폐업,3,폐업,2014-12-12,,,02-509-6000,427-703,경기도 과천시 막계동 33번지,경기도 과천시 광명로 181 (막계동),427-703,(주) 서울랜드 내 야외수영장,202115.8277,437231.6724,,
471,3,폐업,3,폐업,2015-12-28,,,02-509-6000,427-703,경기도 과천시 막계동 33번지,경기도 과천시 광명로 181 (막계동),13829,서울랜드 야외수영장,202115.8277,437231.6724,,
472,3,폐업,3,폐업,2016-12-19,,,02-509-6181,,경기도 과천시 막계동 29번지,"경기도 과천시 광명로 181 (막계동, 서울랜드)",13829,서울랜드 야외수영장,202068.2974,437069.8877,,
473,3,폐업,3,폐업,2006-04-07,,,031-944-4225,413-803,경기도 파주시 아동동 356-12번지,경기도 파주시 새꽃로 206-2  (아동동),,돌고래수영장,180171.2675,473681.8986,,
